,Team,Total Injured,Non-IR,IR
0,Washington,23,10,13
1,New Orleans,22,12,10
2,Dallas,22,14,8
3,Indianapolis,21,9,12
4,Miami,20,11,9
5,Oakland,19,6,13
6,Philadelphia,19,9,10
7,New England,19,8,11
8,Tampa Bay,19,7,12
9,Carolina,18,9,9
10,Jacksonville,18,5,13
11,Cincinnati,17,8,9
12,Baltimore,17,5,12
13,Green Bay,16,9,7
14,Pittsburgh,15,5,10
15,Seattle,15,6,9
16,LA Chargers,15,7,8
17,Arizona,14,7,7
18,Denver,14,5,9
19,Detroit,14,10,4
20,Kansas City,13,2,11
21,LA Rams,13,5,8
22,NY Jets,13,8,5
23,San Francisco,13,6,7
24,Buffalo,12,9,3
25,NY Giants,12,4,8
26,Atlanta,12,7,5
27,Cleveland,12,4,8
28,Houston,12,6,6
29,Minnesota,11,4,7
30,Tennessee,9,3,6
31,Chicago,9,4,5
