,Team,Total Injured,Non-IR,IR
0,Washington,30,13,17
1,Indianapolis,26,13,13
2,Oakland,26,9,17
3,Jacksonville,24,11,13
4,Tampa Bay,23,11,12
5,Cincinnati,23,9,14
6,Baltimore,23,12,11
7,San Francisco,22,12,10
8,Green Bay,22,10,12
9,Carolina,20,8,12
10,Pittsburgh,18,9,9
11,Denver,18,7,11
12,Houston,18,13,5
13,Arizona,18,4,14
14,New Orleans,18,8,10
15,Miami,18,7,11
16,Philadelphia,17,7,10
17,Dallas,16,8,8
18,Seattle,16,7,9
19,NY Giants,16,6,10
20,Detroit,16,10,6
21,Cleveland,16,9,7
22,NY Jets,15,8,7
23,New England,15,5,10
24,Kansas City,15,4,11
25,Atlanta,14,7,7
26,Tennessee,13,7,6
27,LA Chargers,13,5,8
28,Minnesota,12,4,8
29,Chicago,10,5,5
30,LA Rams,9,3,6
31,Buffalo,9,5,4
