,Team,Total Injured,Non-IR,IR
0,Jacksonville,21,9,12
1,Houston,20,12,8
2,Washington,19,7,12
3,New England,19,8,11
4,Indianapolis,19,7,12
5,Denver,19,11,8
6,Oakland,19,7,12
7,San Francisco,18,11,7
8,Kansas City,18,6,12
9,Baltimore,17,5,12
10,Cincinnati,17,10,7
11,Philadelphia,17,7,10
12,Dallas,16,7,9
13,Miami,15,5,10
14,Pittsburgh,15,4,11
15,NY Jets,14,8,6
16,Tampa Bay,14,5,9
17,Seattle,14,5,9
18,Minnesota,14,7,7
19,Carolina,14,5,9
20,New Orleans,13,4,9
21,NY Giants,12,4,8
22,Arizona,11,6,5
23,LA Rams,11,2,9
24,Tennessee,11,5,6
25,Cleveland,10,4,6
26,Chicago,10,6,4
27,LA Chargers,9,4,5
28,Green Bay,8,1,7
29,Atlanta,8,2,6
30,Detroit,8,4,4
31,Buffalo,7,6,1
