,Team,Total Injured,Non-IR,IR
0,Jacksonville,22,10,12
1,Washington,22,8,14
2,Indianapolis,20,8,12
3,New England,19,7,12
4,Carolina,19,10,9
5,Baltimore,18,6,12
6,Philadelphia,18,8,10
7,Cincinnati,18,10,8
8,Kansas City,18,7,11
9,Pittsburgh,17,6,11
10,Dallas,17,8,9
11,Miami,16,7,9
12,Seattle,15,6,9
13,Denver,15,7,8
14,Cleveland,15,7,8
15,Green Bay,14,6,8
16,Houston,14,7,7
17,Oakland,14,2,12
18,Minnesota,13,6,7
19,Tampa Bay,13,4,9
20,New Orleans,13,4,9
21,NY Jets,12,8,4
22,NY Giants,12,4,8
23,Chicago,12,7,5
24,Arizona,11,5,6
25,Tennessee,11,5,6
26,San Francisco,10,3,7
27,Atlanta,10,4,6
28,LA Rams,10,2,8
29,Buffalo,9,6,3
30,LA Chargers,9,3,6
31,Detroit,4,1,3
