,Team,Total Injured,Non-IR,IR
0,Oakland,22,11,11
1,Arizona,21,16,5
2,Indianapolis,20,10,10
3,Washington,17,6,11
4,Seattle,17,8,9
5,Jacksonville,16,7,9
6,Denver,16,8,8
7,Philadelphia,16,7,9
8,Cincinnati,15,9,6
9,Kansas City,15,5,10
10,Tennessee,15,7,8
11,New England,14,4,10
12,Pittsburgh,14,4,10
13,NY Giants,14,5,9
14,LA Rams,13,5,8
15,Minnesota,13,6,7
16,Miami,13,6,7
17,Baltimore,13,2,11
18,Green Bay,13,6,7
19,Cleveland,12,6,6
20,Dallas,12,4,8
21,New Orleans,12,6,6
22,Tampa Bay,12,4,8
23,Carolina,12,3,9
24,San Francisco,12,6,6
25,NY Jets,12,8,4
26,Atlanta,11,7,4
27,Detroit,11,7,4
28,LA Chargers,11,6,5
29,Houston,10,2,8
30,Chicago,8,3,5
31,Buffalo,6,5,1
